id_municipio,uf,cluster,perfil,risco_medio,taxa_alfabetizacao_real,inse_municipio
150350,PA,1,Critico,0.620739710789394,52.112676056338024,4.162000000000001
150360,PA,2,Intermediario,0.4884624599557664,57.45784695201037,4.6099999999999985
150370,PA,1,Critico,0.6538687495731212,47.27272727272727,4.338636363636363
150380,PA,1,Critico,0.6879634741903266,42.073170731707314,4.317368421052632
150390,PA,1,Critico,0.6203092079151425,50.5338078291815,3.8970731707317072
150400,PA,1,Critico,0.6228292804740401,47.01492537313433,3.780714285714285
150405,PA,1,Critico,0.6228418603346442,46.043165467625904,4.2456249999999995
150410,PA,3,Atencao,0.5085656502542673,59.09090909090909,4.173333333333334
150420,PA,1,Critico,0.5767971246723165,50.8557457212714,4.522905982905984
150430,PA,3,Atencao,0.5214934442880884,50.0,4.047391304347825
150440,PA,1,Critico,0.7207223042758868,35.38461538461539,4.101578947368422
150442,PA,1,Critico,0.5678109706332113,51.690821256038646,4.501521739130435
150445,PA,1,Critico,0.6230118757718607,51.03448275862069,4.386153846153847
150450,PA,1,Critico,0.7432867851437707,32.63888888888889,3.580689655172413
150460,PA,1,Critico,0.7357989468303493,34.45378151260504,4.121666666666666
150470,PA,1,Critico,0.7454303979695066,33.78378378378378,4.0121153846153845
150475,PA,1,Critico,0.5925768526674254,51.21951219512195,4.340588235294118
150480,PA,3,Atencao,0.5886674871238508,53.380782918149464,4.149799999999999
150490,PA,1,Critico,0.7249565395163463,38.62660944206009,3.785769230769231
150495,PA,1,Critico,0.6632082441786674,35.61643835616438,3.9353846153846153
150497,PA,1,Critico,0.6041063428025758,46.34146341463415,4.355555555555556
150500,PA,1,Critico,0.5923155312737898,52.94117647058824,4.2299999999999995
150503,PA,2,Intermediario,0.5084249013368698,67.79661016949152,4.693333333333334
150506,PA,1,Critico,0.5821206937972195,57.46268656716418,4.3765714285714274
150510,PA,3,Atencao,0.5773429404520619,56.28140703517588,3.9792682926829275
150520,PA,1,Critico,0.8056838874218352,30.057803468208093,3.8174999999999994
150530,PA,1,Critico,0.7393697746618354,29.749103942652326,3.8029545454545453
150540,PA,3,Atencao,0.5986009945481355,57.6271186440678,4.27875
150543,PA,1,Critico,0.5874863105030899,47.22222222222222,4.535000000000001
150548,PA,1,Critico,0.6696529706493685,44.0,4.380624999999999
150549,PA,1,Critico,0.702726894407871,36.84210526315789,4.212
150550,PA,3,Atencao,0.49490686878823353,60.24305555555556,4.517941176470588
150553,PA,2,Intermediario,0.5738693459812253,54.054054054054056,4.710181818181816
150555,PA,1,Critico,0.5949564731257312,39.39393939393939,4.45
150560,PA,3,Atencao,0.427809875857299,64.51612903225806,4.248571428571428
150563,PA,3,Atencao,0.527408912118161,61.904761904761905,4.4037500000000005
150570,PA,3,Atencao,0.5940267265067071,47.05882352941176,3.76375
150580,PA,1,Critico,0.658836851684957,41.17647058823529,3.66
150590,PA,0,Consolidado,0.3153312009524835,80.625,3.4996551724137928
