id_municipio,uf,taxa_atual,meta_2030,distancia_meta_pp,ritmo_necessario_aa,risco_medio
291270,BA,22.82608695652174,80.0,-57.173913043478265,9.528985507246377,0.7909695267619088
251315,PB,22.857142857142858,80.0,-57.14285714285714,9.523809523809524,0.7811852587454478
292610,BA,22.916666666666664,80.0,-57.083333333333336,9.51388888888889,0.8222143943654218
291140,BA,23.076923076923077,80.0,-56.92307692307692,9.487179487179487,0.7860332753267637
270360,AL,23.076923076923077,80.0,-56.92307692307692,9.487179487179487,0.8046277542610527
220335,PI,23.076923076923077,80.0,-56.92307692307692,9.487179487179487,0.7873677115800983
292000,BA,23.076923076923077,80.0,-56.92307692307692,9.487179487179487,0.7503160820859156
293010,BA,23.214285714285715,80.0,-56.785714285714285,9.464285714285714,0.8228504882299387
220205,PI,23.404255319148938,80.0,-56.59574468085106,9.432624113475176,0.7143705703221345
160050,AP,23.48993288590604,80.0,-56.51006711409396,9.41834451901566,0.811754049876482
291960,BA,23.52941176470588,80.0,-56.470588235294116,9.411764705882353,0.8019866347797162
160010,AP,23.636363636363637,80.0,-56.36363636363636,9.393939393939393,0.7770666872690912
150740,PA,23.684210526315788,80.0,-56.31578947368421,9.385964912280702,0.7164593380972447
240700,RN,23.684210526315788,80.0,-56.31578947368421,9.385964912280702,0.6986293520143354
240210,RN,23.809523809523807,80.0,-56.19047619047619,9.365079365079366,0.740945512834249
240470,RN,23.91304347826087,80.0,-56.086956521739125,9.347826086956522,0.7475038530735256
292020,BA,23.943661971830984,80.0,-56.056338028169016,9.342723004694836,0.7610866999988329
290687,BA,23.958333333333336,80.0,-56.041666666666664,9.340277777777777,0.7802910865779845
290580,BA,24.0,80.0,-56.0,9.333333333333334,0.7912855915317697
291630,BA,24.0,80.0,-56.0,9.333333333333334,0.8088269139944861
293170,BA,24.137931034482758,80.0,-55.86206896551724,9.310344827586206,0.7852503432573572
291580,BA,24.175824175824175,80.0,-55.824175824175825,9.304029304029305,0.799140871523743
291530,BA,24.242424242424242,80.0,-55.75757575757576,9.292929292929292,0.7634581785379757
250520,PB,24.324324324324326,80.0,-55.67567567567568,9.27927927927928,0.7810245016898396
280240,SE,24.324324324324326,80.0,-55.67567567567568,9.27927927927928,0.7881683006311689
290990,BA,24.418604651162788,80.0,-55.58139534883721,9.263565891472869,0.7920628653170442
292210,BA,24.444444444444443,80.0,-55.55555555555556,9.25925925925926,0.7678801510247385
291535,BA,24.489795918367346,80.0,-55.51020408163265,9.251700680272108,0.7766839560057275
292270,BA,24.489795918367346,80.0,-55.51020408163265,9.251700680272108,0.7485876016053852
292760,BA,24.561403508771928,80.0,-55.43859649122807,9.239766081871345,0.7790925255653945
291390,BA,24.81203007518797,80.0,-55.18796992481203,9.197994987468672,0.7672875631391307
292265,BA,25.0,80.0,-55.0,9.166666666666666,0.7775925394868346
240160,RN,25.0,80.0,-55.0,9.166666666666666,0.8194907430728235
220265,PI,25.0,80.0,-55.0,9.166666666666666,0.7448188413947037
172020,TO,25.0,80.0,-55.0,9.166666666666666,0.7492597820339216
291855,BA,25.0,80.0,-55.0,9.166666666666666,0.7419633790973529
292150,BA,25.0,80.0,-55.0,9.166666666666666,0.7743752326232041
170305,TO,25.0,80.0,-55.0,9.166666666666666,0.7117047571867083
241500,RN,25.0,80.0,-55.0,9.166666666666666,0.765575598196563
240540,RN,25.0,80.0,-55.0,9.166666666666666,0.8252350191036173
280590,SE,25.0,80.0,-55.0,9.166666666666666,0.8032946682245626
291110,BA,25.0,80.0,-55.0,9.166666666666666,0.807484524148217
291190,BA,25.0,80.0,-55.0,9.166666666666666,0.8018241266753261
211125,MA,25.0,80.0,-55.0,9.166666666666666,0.6746615968362557
293050,BA,25.252525252525253,80.0,-54.74747474747475,9.124579124579125,0.8219963016205007
280280,SE,25.263157894736842,80.0,-54.73684210526316,9.12280701754386,0.7130771014972852
280360,SE,25.31645569620253,80.0,-54.68354430379747,9.113924050632912,0.7983840924982802
290780,BA,25.423728813559322,80.0,-54.57627118644068,9.096045197740112,0.735371072456505
280020,SE,25.64102564102564,80.0,-54.358974358974365,9.059829059829061,0.8292336043748739
293270,BA,25.64102564102564,80.0,-54.358974358974365,9.059829059829061,0.7760115414100182
293300,BA,25.71428571428571,80.0,-54.28571428571429,9.04761904761905,0.7360513578900838
292800,BA,25.806451612903224,80.0,-54.193548387096776,9.03225806451613,0.7908646557529636
292335,BA,25.925925925925924,80.0,-54.074074074074076,9.012345679012347,0.7857552375610763
290040,BA,25.925925925925924,80.0,-54.074074074074076,9.012345679012347,0.7909704524609922
241040,RN,26.0,80.0,-54.0,9.0,0.7404386008245669
270710,AL,26.027397260273972,80.0,-53.97260273972603,8.995433789954339,0.8031934428393859
250720,PB,26.08695652173913,80.0,-53.913043478260875,8.985507246376812,0.7878655162592587
171886,TO,26.08695652173913,80.0,-53.913043478260875,8.985507246376812,0.794291199661307
290323,BA,26.08695652173913,80.0,-53.913043478260875,8.985507246376812,0.7852794478157152
280660,SE,26.190476190476193,80.0,-53.80952380952381,8.968253968253968,0.6968140222863451
150340,PA,26.229508196721312,80.0,-53.77049180327869,8.96174863387978,0.7256552154086727
292305,BA,26.31578947368421,80.0,-53.684210526315795,8.947368421052632,0.7628353573687544
270610,AL,26.31578947368421,80.0,-53.684210526315795,8.947368421052632,0.6946259725834402
500560,MS,26.41509433962264,80.0,-53.58490566037736,8.930817610062894,0.7385217868028118
292920,BA,26.47058823529412,80.0,-53.529411764705884,8.92156862745098,0.7804464148402592
280100,SE,26.53061224489796,80.0,-53.46938775510204,8.91156462585034,0.7359966427280293
293150,BA,26.582278481012654,80.0,-53.41772151898735,8.902953586497892,0.7749419589178376
293077,BA,26.61290322580645,80.0,-53.38709677419355,8.897849462365592,0.7570952841492112
290270,BA,26.633165829145728,80.0,-53.366834170854275,8.894472361809045,0.7825854753830728
290470,BA,26.666666666666668,80.0,-53.33333333333333,8.888888888888888,0.7924884191459973
293240,BA,26.666666666666668,80.0,-53.33333333333333,8.888888888888888,0.7647875558642915
240120,RN,26.666666666666668,80.0,-53.33333333333333,8.888888888888888,0.7734578879852172
270540,AL,26.666666666666668,80.0,-53.33333333333333,8.888888888888888,0.7381082957631493
292935,BA,26.666666666666668,80.0,-53.33333333333333,8.888888888888888,0.7800758675509548
290840,BA,26.737967914438503,80.0,-53.2620320855615,8.877005347593583,0.7646915685726324
292160,BA,26.82926829268293,80.0,-53.170731707317074,8.861788617886178,0.7492206688609928
291310,BA,26.82926829268293,80.0,-53.170731707317074,8.861788617886178,0.7864259178860326
290890,BA,26.865671641791046,80.0,-53.134328358208954,8.855721393034825,0.8076448121308665
290250,BA,26.865671641791046,80.0,-53.134328358208954,8.855721393034825,0.7049764575649147
290090,BA,26.923076923076923,80.0,-53.07692307692308,8.846153846153847,0.766501943479223
241120,RN,26.923076923076923,80.0,-53.07692307692308,8.846153846153847,0.7642996697617429
280210,SE,26.94063926940639,80.0,-53.05936073059361,8.843226788432268,0.7405961014051404
290490,BA,27.0,80.0,-53.0,8.833333333333334,0.7698175740982743
280540,SE,27.027027027027028,80.0,-52.97297297297297,8.828828828828827,0.8306338585528594
290710,BA,27.049180327868854,80.0,-52.950819672131146,8.825136612021858,0.7633891858724007
150700,PA,27.06766917293233,80.0,-52.93233082706767,8.822055137844613,0.7676781849107731
292580,BA,27.160493827160494,80.0,-52.839506172839506,8.806584362139917,0.77362631777661
293060,BA,27.27272727272727,80.0,-52.727272727272734,8.787878787878789,0.7688324219750835
291992,BA,27.27272727272727,80.0,-52.727272727272734,8.787878787878789,0.7446027744027198
170110,TO,27.27272727272727,80.0,-52.727272727272734,8.787878787878789,0.7373552398175715
280640,SE,27.500000000000004,80.0,-52.5,8.75,0.7960925652878101
292970,BA,27.586206896551722,80.0,-52.41379310344828,8.735632183908047,0.8089282575241085
290670,BA,27.631578947368425,80.0,-52.368421052631575,8.728070175438596,0.7205575124240833
220850,PI,27.659574468085108,80.0,-52.34042553191489,8.723404255319148,0.6822221127462539
351140,SP,27.659574468085108,80.0,-52.34042553191489,8.723404255319148,0.6658886856101403
280120,SE,27.67295597484277,80.0,-52.327044025157235,8.721174004192873,0.8054615888760231
291370,BA,27.722772277227726,80.0,-52.277227722772274,8.712871287128712,0.7740355401314059
292225,BA,27.77777777777778,80.0,-52.22222222222222,8.703703703703704,0.7916870539891915
270130,AL,27.835051546391753,80.0,-52.16494845360825,8.694158075601374,0.7646485053358794
270310,AL,27.884615384615387,80.0,-52.11538461538461,8.685897435897436,0.7874084919744667
221110,PI,27.89473684210526,80.0,-52.10526315789474,8.68421052631579,0.7544464486427185
241290,RN,28.000000000000004,80.0,-52.0,8.666666666666666,0.69257984982273
270050,AL,28.037383177570092,80.0,-51.96261682242991,8.66043613707165,0.7477949233960591
292525,BA,28.04878048780488,80.0,-51.951219512195124,8.658536585365853,0.7646372541512853
