posicao,id_municipio,uf,n_alunos_avaliados,risco_medio,taxa_alfabetizacao_real,inse_municipio,gap_meta_2030
145,291920,BA,570,0.7732453973769657,31.2280701754386,4.578983050847457,-50.774017216642754
146,221135,PI,21,0.773200722423782,33.33333333333333,3.928,-51.39
147,293305,BA,35,0.7729367697379566,17.142857142857142,4.29,-52.70097826086956
148,280440,SE,88,0.7723102037175056,30.681818181818183,4.3081249999999995,-50.89176100628931
149,240710,RN,200,0.7721940114975234,30.5,4.508157894736843,-51.335629017447204
150,290265,BA,51,0.7713507689080775,35.294117647058826,4.221666666666668,-54.934736842105266
151,292810,BA,118,0.77118262738091,28.8135593220339,4.282000000000001,-50.29745233968804
152,171250,TO,23,0.7711296624914248,17.391304347826086,4.61,-50.85643835616438
153,280680,SE,29,0.770319162219782,37.93103448275862,4.34,-50.3451724137931
154,291750,BA,249,0.769889053433962,30.522088353413658,4.480434782608695,-50.30900249376559
155,290490,BA,100,0.7698175740982743,27.0,4.318823529411764,-51.11174796747967
156,293060,BA,44,0.7688324219750835,27.27272727272727,4.387142857142857,-51.19764705882353
157,293220,BA,74,0.7685107933331055,35.13513513513514,4.3925,-49.5854938271605
158,270240,AL,249,0.7681653538049916,30.923694779116467,4.488095238095237,-50.273747927031515
159,293080,BA,63,0.7679079035114859,22.22222222222222,4.2772727272727264,-51.76144736842105
160,292210,BA,45,0.7678801510247385,24.444444444444443,4.346153846153846,-50.38744680851064
161,240420,RN,170,0.767880126146049,30.0,4.531428571428572,-51.42117721518987
162,150700,PA,133,0.7676781849107732,27.06766917293233,4.279999999999999,-51.098543689320394
163,291390,BA,133,0.7672875631391307,24.81203007518797,4.473571428571429,-50.96522462562396
164,291840,BA,1077,0.7671385457318315,29.526462395543174,4.497471264367817,-49.66904059712361
165,290090,BA,26,0.766501943479223,26.923076923076923,4.21,-51.96924528301887
166,292600,BA,138,0.765796009752686,28.26086956521739,4.26,-50.13840455840456
167,240580,RN,99,0.7657893607187332,34.34343434343434,4.369999999999999,-50.28027184466019
168,291100,BA,29,0.7655983285686413,20.689655172413794,4.459999999999999,-50.74727272727273
169,241500,RN,20,0.765575598196563,25.0,4.4,-50.370000000000005
170,250030,PB,109,0.7652441512463982,29.357798165137616,4.223125000000001,-50.60660130718954
171,293240,BA,30,0.7647875558642915,26.666666666666668,4.332222222222223,-49.53670588235294
172,290840,BA,187,0.7646915685726324,26.737967914438503,4.515937500000001,-50.31087460484721
173,270130,AL,97,0.7646485053358794,27.835051546391753,4.314285714285715,-49.859518599562364
174,292525,BA,82,0.7646372541512853,28.04878048780488,4.415454545454545,-50.76182741116751
175,290820,BA,67,0.7645859597048594,28.35820895522388,4.484545454545454,-50.082470588235296
176,211065,MA,41,0.7645048955797293,41.46341463414634,4.297499999999999,-50.16589285714286
177,291590,BA,23,0.7644611728766197,30.434782608695656,4.453333333333333,
178,292570,BA,28,0.764340368858635,32.142857142857146,4.361666666666666,-48.91756880733945
179,241120,RN,156,0.7642996697617429,26.923076923076923,4.446470588235295,-47.23916554508748
180,291050,BA,94,0.7642022759175771,27.659574468085108,4.338181818181819,
181,500520,MS,119,0.7641135187439096,31.932773109243694,4.867777777777777,-50.45848874598071
182,270380,AL,95,0.7639369224347649,30.526315789473685,4.087272727272727,-53.67328600405679
183,292650,BA,65,0.7635474473522956,36.92307692307693,4.106363636363636,-48.67304615384615
184,291220,BA,119,0.7635218625944025,28.57142857142857,4.531000000000001,-49.990591497227356
185,291530,BA,33,0.7634581785379757,24.242424242424242,4.383333333333334,-50.62296703296703
186,290710,BA,122,0.7633891858724007,27.049180327868854,4.317222222222222,-49.68350819672131
187,292305,BA,38,0.7628353573687544,26.31578947368421,4.373333333333333,-51.733294117647056
188,170384,TO,66,0.7627190624518766,30.303030303030305,4.074,-52.66
189,293015,BA,147,0.7625906729167795,28.57142857142857,4.4796,-49.19492939666239
190,240930,RN,23,0.7625706418764556,34.78260869565217,4.426666666666667,-49.374242424242425
191,291480,BA,458,0.7622567437218248,28.82096069868996,4.44673469387755,-49.1962783171521
192,292805,BA,34,0.7621004856945306,29.411764705882355,4.172,-48.89862068965517
193,280760,SE,67,0.7617317638144689,38.80597014925373,4.340714285714286,-47.74241935483871
194,292140,BA,42,0.7613930595428025,38.095238095238095,4.4023076923076925,-48.385555555555555
195,292020,BA,71,0.7610866999988329,23.943661971830984,4.271666666666667,-50.8058024691358
196,290180,BA,28,0.7607622029315364,21.428571428571427,4.37375,-51.40291666666667
197,293290,BA,226,0.7607619496883886,29.646017699115045,4.359047619047619,-48.60483967935872
198,290620,BA,106,0.7607049960033108,33.9622641509434,4.355384615384615,-48.89115321252059
199,280340,SE,62,0.7604485631646631,29.03225806451613,4.247999999999999,-47.93377483443709
200,221120,PI,123,0.7602408541655448,30.89430894308943,4.439090909090909,-50.44885906040268
201,290380,BA,58,0.7599495728463393,29.310344827586203,4.106666666666667,-47.234532374100716
202,292575,BA,55,0.7584751749955236,21.818181818181817,4.228000000000001,
203,292940,BA,20,0.7583344608136662,80.0,4.373333333333334,-46.92253968253968
204,150070,PA,132,0.7582081228666597,33.33333333333333,3.534285714285714,-49.556748091603055
205,241335,RN,35,0.7579834226272498,34.285714285714285,4.688,-49.95946107784431
206,292880,BA,197,0.7579253443400505,36.04060913705584,4.527200000000001,-47.758084886128366
207,291850,BA,50,0.7577116398562579,44.0,4.271111111111111,-48.26155709342561
208,293077,BA,124,0.7570952841492112,26.61290322580645,4.555,-49.599344262295084
209,291660,BA,22,0.7564972362018626,31.818181818181817,4.430000000000001,-45.94488549618321
210,291490,BA,98,0.7561361224479892,31.63265306122449,4.404444444444444,-48.20749464668094
211,280200,SE,20,0.7561282835981926,20.0,4.4925,-49.680625
212,240510,RN,28,0.7560378317665671,28.57142857142857,4.6125,-48.71720430107527
213,291400,BA,185,0.7559834682382687,32.972972972972975,4.188857142857142,-47.949621380846324
214,293360,BA,193,0.7559665351813709,32.64248704663213,4.295862068965518,-48.34375123395854
215,290700,BA,46,0.7559641217184169,30.434782608695656,4.437142857142857,-50.17245689655172
216,160080,AP,71,0.7558541925875304,30.985915492957744,4.347499999999999,-48.45675
217,290920,BA,31,0.7557117307089679,38.70967741935484,4.329999999999999,-47.64645739910314
218,290610,BA,35,0.7549784663430043,31.428571428571427,4.245555555555556,-47.043949044585986
219,292900,BA,35,0.754678337793089,37.142857142857146,4.239999999999999,-48.29778443113773
220,221110,PI,190,0.7544464486427185,27.89473684210526,4.104827586206897,-49.33047058823529
221,290560,BA,85,0.7540424102744127,28.235294117647058,4.4,-50.18062937062937
222,280320,SE,136,0.7540384721896137,34.55882352941176,4.359629629629631,-47.87343283582089
223,280460,SE,85,0.7540235272235042,30.58823529411765,4.3963636363636365,-46.784427536231874
224,220490,PI,46,0.7536038513858346,30.434782608695656,4.072857142857143,-49.325714285714284
225,293030,BA,56,0.7533228775485012,28.57142857142857,4.3475,-49.09384879725086
226,240720,RN,73,0.7528055282723582,35.61643835616438,4.481999999999999,-47.30177419354838
227,292285,BA,20,0.7527533950480467,15.0,4.315,-49.80961904761905
228,220327,PI,24,0.7527412152459868,29.166666666666668,3.9633333333333334,-47.884625850340136
229,241440,RN,135,0.7524863645200137,28.888888888888886,4.378823529411765,-47.58754555198285
230,280520,SE,20,0.7520960629473493,30.0,4.390000000000001,-50.999240506329116
231,280067,SE,79,0.7520515674837659,30.37974683544304,4.492727272727272,-46.08662835249042
232,292930,BA,89,0.7515387688354972,33.70786516853933,4.364666666666666,-48.456321138211386
233,292045,BA,29,0.7514394850879654,44.827586206896555,4.374545454545454,-47.07822857142857
234,250640,PB,38,0.7511358975665183,31.57894736842105,4.18,-48.362857142857145
235,291620,BA,22,0.7508129035258514,31.818181818181817,4.422499999999999,-47.38824675324675
236,292000,BA,39,0.7503160820859157,23.076923076923077,4.4425,-49.01911764705882
237,280070,SE,49,0.7501069159615907,34.69387755102041,4.195,-48.01300925925926
238,291080,BA,1485,0.7500350627162707,32.996632996633,4.561403508771931,-47.456820319849484
239,292170,BA,88,0.7499992409429315,31.818181818181817,4.291363636363637,-47.38688149688149
240,291070,BA,184,0.7498202626420989,32.065217391304344,4.379999999999999,-48.633399999999995
241,172020,TO,64,0.7492597820339216,25.0,4.465,-47.58212624584718
242,292160,BA,41,0.7492206688609928,26.82926829268293,4.1325,-49.665
243,150120,PA,130,0.7490836367217898,31.538461538461537,4.2458333333333345,-47.836120401337794
244,292270,BA,49,0.7485876016053852,24.489795918367346,4.402222222222222,-48.90266009852216
245,291160,BA,54,0.7484545129028475,33.33333333333333,4.503076923076923,-47.14411764705882
246,290590,BA,68,0.7484009668423551,33.82352941176471,4.316249999999998,-47.66297872340426
247,150720,PA,72,0.748255287299481,36.11111111111111,3.9390476190476185,-47.736824512534824
248,280420,SE,61,0.7481750356971526,19.672131147540984,4.298571428571429,-46.755558912386704
249,270050,AL,107,0.7477949233960591,28.037383177570092,4.448,-48.09426886792453
250,352970,SP,31,0.747544291605425,29.03225806451613,5.093333333333334,-50.91
251,240470,RN,46,0.7475038530735256,23.91304347826087,4.505454545454546,-48.75027465667915
252,150290,PA,95,0.7469595304073483,35.78947368421053,4.168518518518519,-47.69080213903744
253,241090,RN,32,0.7463239442604568,34.375,4.426666666666667,-49.12520383693045
254,291185,BA,23,0.7462587874467325,43.47826086956522,4.1525,-46.63976047904192
255,240260,RN,255,0.7462343973906354,29.411764705882355,4.4362790697674415,
256,150470,PA,296,0.7454303979695066,33.78378378378378,4.0121153846153845,-46.787817225509535
257,240230,RN,53,0.7453431159606572,32.075471698113205,4.416666666666667,-46.159133089133086
258,171190,TO,59,0.7450837292819775,30.508474576271187,4.6325,-48.7299076923077
259,292500,BA,57,0.7450121137577255,21.052631578947366,4.511818181818182,-48.09389684813753
260,291550,BA,26,0.7449782005883604,38.46153846153847,4.386,-45.75258706467662
261,241220,RN,215,0.7449249250416111,33.02325581395349,4.539130434782607,-49.12712037037037
262,220265,PI,24,0.7448188413947037,25.0,3.9566666666666666,-48.84825242718446
263,291992,BA,55,0.7446027744027198,27.27272727272727,4.583333333333333,-48.62131313131313
264,290290,BA,201,0.7445367520914962,31.343283582089555,4.382777777777776,-46.75428723404255
265,280530,SE,31,0.744135448677538,38.70967741935484,4.493333333333333,-46.86283950617284
266,291690,BA,23,0.7438436189502704,30.434782608695656,4.45,-48.480625
267,290930,BA,110,0.7438217564479186,32.72727272727273,4.469047619047619,-47.124483985765124
268,293190,BA,111,0.7438129494920388,30.630630630630627,4.395714285714286,-47.689465346534654
269,260420,PE,98,0.7434958986596488,41.83673469387755,4.300714285714285,-46.57571691176471
270,280140,SE,54,0.7434473146422379,37.03703703703704,4.308888888888888,-46.18675496688741
271,150450,PA,144,0.7432867851437707,32.63888888888889,3.580689655172413,-46.602
272,291855,BA,24,0.7419633790973529,25.0,4.386666666666667,-46.03674418604651
273,150820,PA,188,0.7416861541101704,35.638297872340424,4.290312500000001,-46.11739281575898
274,171488,TO,84,0.7415338953177577,34.523809523809526,4.451428571428572,-47.3632183908046
275,291165,BA,31,0.7413401845003557,32.25806451612903,4.638,-46.57269230769231
276,291955,BA,559,0.7410574669346464,28.622540250447226,4.895666666666667,-47.695160726764506
277,292925,BA,68,0.7409457464014251,35.294117647058826,4.235,-46.64242424242424
278,240210,RN,21,0.740945512834249,23.809523809523807,4.462857142857143,-48.99111111111111
279,130353,AM,204,0.7406121804108463,33.33333333333333,4.604347826086956,-45.29338912133891
280,280210,SE,219,0.7405961014051404,26.94063926940639,4.448333333333333,-45.69701869158878
281,171890,TO,25,0.7405428549561346,32.0,4.616666666666667,-50.53642857142857
282,241040,RN,50,0.7404386008245669,26.0,4.359999999999999,-45.70269537480064
283,292720,BA,105,0.7403010494353621,33.33333333333333,4.182666666666667,-47.04432432432432
284,270560,AL,64,0.7400725974914428,29.6875,4.305,-46.006
285,290485,BA,48,0.7398297251090863,37.5,4.372727272727272,
286,150530,PA,279,0.7393697746618354,29.749103942652326,3.8029545454545453,-47.49966220971147
287,291005,BA,233,0.7388786646414278,30.472103004291846,4.554736842105264,-46.02730736663844
288,500560,MS,159,0.7385217868028117,26.41509433962264,4.737857142857143,-47.21929577464789
289,150310,PA,187,0.7384668898137345,37.4331550802139,3.687575757575758,
290,293280,BA,40,0.738420552244454,30.0,4.222222222222222,-46.528
291,150050,PA,155,0.7383405361953996,32.25806451612903,4.077916666666667,-45.450687830687826
292,270540,AL,45,0.7381082957631493,26.666666666666668,3.7785714285714285,-46.559705882352944
293,291240,BA,59,0.7378162940771215,33.89830508474576,4.52,-46.498039215686276
294,170110,TO,33,0.7373552398175715,27.27272727272727,4.615,-47.1348951048951
295,290330,BA,33,0.7371364824866657,30.303030303030305,4.345,-48.5216265060241
296,280390,SE,63,0.7371096973622796,38.095238095238095,4.482857142857143,-47.410314960629925
297,270790,AL,34,0.7369719992736782,38.23529411764706,4.473999999999999,-45.63165745856353
